sample_id,Proceso electoral y pluralismo,Funcionamiento del gobierno,Participación política,Cultura política,Libertades civiles,overall_score,data_status
64,8.954523356164943,6.022188661816536,5.2773747755743585,2.687761515262118,6.458151691182047,5.88,modeled_latent_ensemble
65,8.80154183056152,5.873599201239675,5.033672944156711,3.325112777729336,6.366073246312759,5.880000000000001,modeled_latent_ensemble
66,8.831357256774371,5.865409301003918,4.9624071870011415,3.363116960166248,6.377709295054322,5.88,modeled_latent_ensemble
67,8.721028017499394,5.8942484483286,5.01900218496278,3.394782605439849,6.370938743769378,5.880000000000001,modeled_latent_ensemble
68,8.93598865901547,6.096558109213377,5.165381006347972,2.841893247925663,6.36017897749752,5.88,modeled_latent_ensemble
69,9.008149213472342,6.166924910859991,5.034171864428972,2.6962268761807913,6.494527135057906,5.88,modeled_latent_ensemble
70,8.934125584255595,5.989941388828625,5.07541684197654,2.7133390565275977,6.687177128411643,5.880000000000001,modeled_latent_ensemble
71,8.73196310356935,5.914306900116229,5.161080129777343,3.2040792352810614,6.388570631256018,5.88,modeled_latent_ensemble
72,8.92380625427977,6.034085889436552,5.04410043940404,2.9314815822227067,6.466525834656934,5.880000000000001,modeled_latent_ensemble
73,8.944764065256361,6.012951435642843,5.142596069278954,2.8766858880367248,6.423002541785118,5.880000000000001,modeled_latent_ensemble
74,8.917457207284903,6.0904472648184305,5.088481824319288,2.7494059924866043,6.554207711090775,5.880000000000001,modeled_latent_ensemble
75,8.930919823515785,6.134844026729212,5.188422544785098,2.7781500420128244,6.367663562957082,5.880000000000001,modeled_latent_ensemble
76,8.943487097235895,6.017478237743103,5.188466497114852,2.759549379689173,6.491018788216977,5.88,modeled_latent_ensemble
77,8.800720477616274,5.872147083426515,4.904677138896085,3.493618023629401,6.328837276431726,5.880000000000001,modeled_latent_ensemble
78,8.83692781646627,5.954349861019361,5.070160614514449,2.9670461608232372,6.571515547176684,5.880000000000001,modeled_latent_ensemble
79,8.861264768993005,6.035575157684459,5.163663874470327,2.708883512210222,6.630612686641989,5.88,modeled_latent_ensemble
80,8.859580129284723,6.19777859224132,5.094959360310722,2.759470195582184,6.4882117225810525,5.880000000000001,modeled_latent_ensemble
81,8.747833495922535,5.911688030529884,4.925974432248204,3.417172620965473,6.397331420333904,5.88,modeled_latent_ensemble
82,8.869283711471807,6.1734606012349715,4.846168970612498,3.1249102100037183,6.386176506677006,5.880000000000001,modeled_latent_ensemble
83,8.896468484735058,5.958454624283283,4.843742547372258,3.2868587659134647,6.414475577695937,5.88,modeled_latent_ensemble
84,8.76915631932954,5.900770271438108,5.006520152910914,3.1340130248313325,6.5895402314901075,5.880000000000001,modeled_latent_ensemble
85,8.902772006936495,5.985018074472443,5.021025896417568,2.8705215038603806,6.620662518313117,5.880000000000001,modeled_latent_ensemble
86,8.862662377636319,5.9964474323713235,5.082152773804605,2.7606776073233568,6.698059808864397,5.88,modeled_latent_ensemble
87,8.9286555926879,6.0680401214726425,5.189217379869667,2.892243944781802,6.32184296118799,5.88,modeled_latent_ensemble
88,8.955964396291854,6.107246530355534,4.975231444530759,3.1191874576580196,6.242370171163834,5.88,modeled_latent_ensemble
89,8.752359260637704,5.958171945259938,5.227806509641342,2.835741927690089,6.625920356770929,5.880000000000001,modeled_latent_ensemble
90,8.743598381868285,5.955477512213978,5.06087325747588,3.2194344092061353,6.420616439235722,5.88,modeled_latent_ensemble
91,8.9666533504469,5.997203063553085,4.889270076829975,3.195550544848248,6.351322964321792,5.880000000000001,modeled_latent_ensemble
92,8.910110383000207,6.081176720465338,5.144212652201073,2.915266618581956,6.3492336257514275,5.880000000000001,modeled_latent_ensemble
93,8.85098206997425,6.157640290196311,5.056441512977205,2.6951138250797375,6.639822301772496,5.880000000000001,modeled_latent_ensemble
94,8.86887436556456,5.90496134560329,4.874800247049002,3.2613054117840616,6.490058629999088,5.88,modeled_latent_ensemble
95,8.816593075313357,6.024743293166093,5.118077897648384,2.9983960643333325,6.442189669538836,5.88,modeled_latent_ensemble
96,8.959419952402062,6.043527208025742,4.987148927762008,3.014133571121982,6.395770340688207,5.88,modeled_latent_ensemble
97,8.81576252750522,6.04169884535124,5.129234795457005,2.9854580401527806,6.427845791533758,5.880000000000001,modeled_latent_ensemble
98,8.965579831650999,6.196833272538833,5.159602524689825,2.792738178550491,6.285246192569852,5.88,modeled_latent_ensemble
99,8.868430396078692,5.878911935835408,5.0418351044263705,3.1357264705120684,6.475096093147463,5.880000000000001,modeled_latent_ensemble
100,8.999343247829032,6.14137358833073,5.235293610844746,2.546432530995529,6.4775570219999645,5.88,modeled_latent_ensemble
101,8.961089193186227,6.068100221041006,5.174670746017029,2.9091845730237957,6.286955266731942,5.88,modeled_latent_ensemble
102,8.874792281153734,6.0846074399393535,5.005030385714871,2.9736529953207635,6.46191689787128,5.880000000000001,modeled_latent_ensemble
103,8.938703143931997,6.079705030888681,5.211214436101881,2.798559309579481,6.371818079497961,5.88,modeled_latent_ensemble
104,8.881421329354765,6.018708401977563,5.175891230540292,2.813775929310066,6.510203108817315,5.88,modeled_latent_ensemble
105,8.887024182978,6.133376605280468,5.153071538636107,2.666004789878349,6.56052288322708,5.880000000000001,modeled_latent_ensemble
106,8.749848424270919,5.975638644024782,5.244308733948917,2.859478373801309,6.570725823954075,5.880000000000001,modeled_latent_ensemble
107,8.858917743414212,6.093428740540598,5.013121588716598,2.9454981556814834,6.48903377164711,5.88,modeled_latent_ensemble
108,8.956737433056233,6.0320103018143705,5.0856289588390275,2.8980062136330793,6.427617092657291,5.88,modeled_latent_ensemble
109,8.890367754300344,6.065080094395972,5.153676712459547,2.7805719364117287,6.51030350243241,5.880000000000001,modeled_latent_ensemble
110,8.85480707500312,6.073239084754844,5.0719801004749705,2.895333288998285,6.504640450768783,5.880000000000001,modeled_latent_ensemble
111,8.769838167211445,5.938906213763749,5.035034873140426,3.2656288973569123,6.390591848527468,5.88,modeled_latent_ensemble
112,8.979316150731286,6.162973679557068,5.1287001085048525,2.7618322749994286,6.367177786207365,5.88,modeled_latent_ensemble
113,8.948474828788562,5.995739324533664,5.082037234098786,2.935358371809434,6.438390240769555,5.880000000000001,modeled_latent_ensemble
114,9.008524454541854,6.1274551488023405,4.894545107929544,2.788848911069062,6.580626377657199,5.880000000000001,modeled_latent_ensemble
115,8.874112266463408,5.948391855978292,5.072226056490824,2.9785795954618846,6.526690225605591,5.88,modeled_latent_ensemble
116,9.03655210720449,6.055364391244762,5.30265689802639,2.3471727166382834,6.658253886886077,5.880000000000001,modeled_latent_ensemble
117,8.891137240223925,5.9354689626987165,4.920234557984424,3.040454734708303,6.612704504384632,5.879999999999999,modeled_latent_ensemble
118,8.893620582512,6.185577548837875,5.125157546308309,2.9266716285784447,6.268972693763372,5.88,modeled_latent_ensemble
119,8.806519529482463,5.948886569674896,5.173663671988735,3.1462281113151307,6.324702117538776,5.880000000000001,modeled_latent_ensemble
120,8.901209417112092,6.0455982036003375,5.319305682705364,2.6233765368521142,6.510510159730094,5.880000000000001,modeled_latent_ensemble
121,8.85354288455542,5.898542274410343,5.0723256496768405,2.9779725283631997,6.597616662994198,5.880000000000001,modeled_latent_ensemble
122,8.886907167339093,6.021339427013031,4.823877939855791,3.3568316290315816,6.311043836760504,5.880000000000001,modeled_latent_ensemble
123,8.82799776726558,6.046156252618831,4.941733940526954,3.1201440069733946,6.463968032615241,5.880000000000001,modeled_latent_ensemble
124,8.842897321941154,5.986310630367544,5.278994840091761,3.0216115810904083,6.270185626509135,5.880000000000001,modeled_latent_ensemble
125,8.81275795008189,6.106901916387255,5.119853380386634,3.099624694118146,6.260862059026078,5.880000000000001,modeled_latent_ensemble
126,8.926315769336572,6.0352067480603075,4.985093391409071,3.1212378709905297,6.33214622020352,5.880000000000001,modeled_latent_ensemble
127,8.860315539530097,6.031772134848145,5.184958020970691,2.9262537102915984,6.396700594359471,5.88,modeled_latent_ensemble
128,8.783523243023726,6.040716177594232,5.111758692484809,2.809663270667909,6.654338616229325,5.880000000000001,modeled_latent_ensemble
